region,date,p50_pcwd,p25_pcwd,p75_pcwd,.group
Bern,2021-02-16,0.3955991333937933,0,0.7251983799031927,1
Bern,2021-02-17,0.4431539394191273,0.02196346925723757,0.6837898892859194,1
Bern,2021-02-18,0.39338902150823213,0.172389303227321,0.6016884783946166,1
Bern,2021-02-19,0.4224548941879881,0.033936260063399885,0.6958057757691934,1
Bern,2021-02-20,0.31643255592353137,0,0.6117059403479994,1
Bern,2021-02-21,0.32667349873484264,0,0.5856986858433455,1
Bern,2021-02-22,0.46699489988758436,0.019587710419652064,0.7247659836338876,1
Bern,2021-02-23,0.14018861616736825,0,0.6931658624939808,1
Bern,2021-02-24,0,0,0.6270807427612772,1
Bern,2021-02-25,0,0,0.5313851527086141,1
Bern,2021-02-26,0.0036890569451450868,0,0.6990517238540788,1
Bern,2021-02-27,0.10685669277016373,0.009182106908443434,0.8472490557087136,1
Bern,2021-02-28,0.1293039817437744,0.011567800045319876,0.9797191404863808,1
Bern,2021-03-01,0.2823805876542888,0,1.0509938474881744,1
Bern,2021-03-02,0,0,1.3301792700970987,1
Bern,2021-03-03,0.2604923299191049,0.08411477253417908,1.2619213061952246,1
Bern,2021-03-04,0.1781890141376152,0,0.8225590854642498,1
Bern,2021-03-05,0.7474279151847184,0.29393041164431455,1.0674828043240427,1
Bern,2021-03-06,1.2730189551588895,1.053059883893294,1.5285285433433744,1
Bern,2021-03-07,1.5420875331360477,0.658272205500795,2.425409349092077,1
Bern,2021-03-08,1.228041493595666,0.6514472083556255,2.893374842766372,1
Bern,2021-03-09,1.4336820516122357,1.0239485244160504,2.9428235253300348,1
Bern,2021-03-10,2.2715173962092545,1.568859200476723,3.5423101803689576,1
Bern,2021-03-11,0,0,0.6904391021539136,1
Bern,2021-03-12,0.2663280668185377,0,0.6798682763920412,1
Bern,2021-03-13,0.4172382707323653,0.05437114771743931,1.525200415474616,1
Bern,2021-03-14,0.5090541016546632,0.31892176460894495,1.9376338779444258,1
Bern,2021-03-15,0.6645566168052106,0.28327169197997815,2.1917612667085993,1
Bern,2021-03-16,1.5035415008233248,0.6690695178193736,2.693212783639495,1
Bern,2021-03-17,1.9978414292569862,0.5484368394902833,3.062118460409956,1
Bern,2021-03-18,2.6800080666626895,0.7501235592256826,3.6796663869706956,1
Bern,2021-03-19,3.0518442741450826,1.1002168384593523,4.473797121459667,1
Bern,2021-03-20,3.3881070393683768,1.3894233775310951,5.220406616442077,1
Bern,2021-03-21,4.050203204837667,1.8560570215428056,6.107441420957645,1
Bern,2021-03-22,4.727580918422252,2.2418083500292183,6.824391869217934,1
Bern,2021-03-23,5.690552314966577,2.602483032229746,7.67804226348275,1
Bern,2021-03-24,5.905456633162393,2.8740746845329235,8.459155520730581,1
Bern,2021-03-25,5.905126470115664,2.7807072198492895,9.300869321767289,1
Bern,2021-03-26,6.247577304162332,3.2327563606849106,9.036989538600832,1
Bern,2021-03-27,3.696290964466843,0.09748961043002075,4.732817616298883,1
Bern,2021-03-28,4.023866546047534,1.229367403410755,5.197692470208035,1
Bern,2021-03-29,3.4094099027624836,0.668270997575966,5.39663774574128,1
Bern,2021-03-30,0.1767028538399778,0,5.668515882503209,1
Bern,2021-03-31,0.23215380362565113,0,4.520193677406594,1
Bern,2021-04-01,0.245244241044047,0,3.943621542827783,1
Bern,2021-04-02,0,0,4.229030436002803,1
Bern,2021-04-03,1.1138308469963931,0.8457943987129276,4.8643641361136805,1
Bern,2021-04-04,2.221507531242486,1.876391129752942,5.757611039875633,1
Bern,2021-04-05,0.4502584080519166,0,6.2360309245474355,1
Bern,2021-04-06,1.4453856827992837,0.9380127658260338,6.575358169711022,1
Bern,2021-04-07,2.541974201960599,1.0919530455023998,6.807601784937117,1
Bern,2021-04-08,4.003914869386493,1.6288500254398195,7.1392809029435815,1
Bern,2021-04-09,4.998628215177767,2.65103469654602,7.802346765456761,1
Bern,2021-04-10,5.291408155163494,2.4615826761609143,8.87215643196093,1
Bern,2021-04-11,0,0,1.5617667374079027,1
Bern,2021-04-12,0.8590785281888874,0.3619725680082958,1.85740690224357,1
Bern,2021-04-13,1.870108205999232,0.8322798292759875,2.765498249041066,1
Bern,2021-04-14,3.0174667277611578,1.2975854541262053,4.6702609597207925,1
Bern,2021-04-15,3.925362883403885,1.8582698761341887,6.582472552184445,1
Bern,2021-04-16,5.691622473685928,2.6981680517076194,8.561053718302572,1
Bern,2021-04-17,7.575018166648755,3.4989897897292463,10.712109842792723,1
Bern,2021-04-18,8.779375765479402,4.341710182192277,11.173690964657931,1
Bern,2021-04-19,10.659286795696378,5.284377190010936,12.094407909294304,1
Bern,2021-04-20,11.031577763248904,6.106244924581682,13.908174986069769,1
Bern,2021-04-21,9.953162095327325,6.922314424464957,14.869428628139659,1
Bern,2021-04-22,9.450203542809383,7.44721205671204,15.628313577262912,1
Bern,2021-04-23,9.279195320533939,5.918243535527733,16.287263000087897,1
Bern,2021-04-24,7.94569228797061,3.593816374388232,16.699999409135128,1
Bern,2021-04-25,6.845403323855066,1.9651090599879053,17.125267823235035,1
Bern,2021-04-26,4.438624018318616,0.9066321477329636,14.975184566857559,1
Bern,2021-04-27,3.437944416797432,0.4345664816104168,14.434792654581479,1
Bern,2021-04-28,0,0,3.357378323110801,1
Bern,2021-04-29,0,0,3.5300905630739035,1
Bern,2021-04-30,0,0,0,1
